fiscal_year,system_code,location_code,location_name,BEDS,Managed_by_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,open_date,Status_descriptions,Primary_building_code,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Tier_2_Support_Location_Name,HighSchool_Network_Location_Code,HighSchool_Network_Name,HighSchool_Network_Superintendent,Community_district 1,Police_precinct
2020,15K136,K136,I.S. 136 Charles O. Dewey,331500010136,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1901-07-01T00:00:00.000,Open,K136,4004 4 AVENUE,NY,982142,176864,-74.007596,40.652127,307,38,8200,3007130020,BK32,Sunset Park West,Amanda Bueno,I.A. Principal,718-840-1950,718-840-1955,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 5- Brooklyn North,NULL,NULL,NULL,307,72
2020,23K137,K137,P.S./I.S. 137 Rachel Jean Mitchell,332300010137,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1902-07-01T00:00:00.000,Open,K137,121 SARATOGA AVENUE,NY,1007370,187849,-73.916641,40.682248,316,41,37300,3015100001,BK79,Ocean Hill,Suzette Rose,Principal,718-453-2926,718-453-5363,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 7- Brooklyn North,NULL,NULL,NULL,316,73
2020,17K138,K138,P.S. 138 Brooklyn,331700010138,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1902-07-01T00:00:00.000,Open,K138,760 PROSPECT PLACE,NY,997687,184816,-73.951559,40.673943,308,36,31701,3012330026,BK61,Crown Heights North,MARIE CHAUVET MONCHIK,Principal,718-467-0800,718-953-3422,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 2- Brooklyn South,NULL,NULL,NULL,308,77
2020,17K138,K138,P.S. 138 Brooklyn,331700010138,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1902-07-01T00:00:00.000,Open,K138,760 PROSPECT PLACE,NY,997687,184816,-73.951559,40.673943,308,36,31701,3012330026,BK61,Crown Heights North,MARIE CHAUVET MONCHIK,Principal,718-467-0800,718-953-3422,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 2- Brooklyn South,NULL,NULL,NULL,308,77
2020,22K139,K139,P.S. 139 Alexine A. Fenty,332200010139,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1902-07-01T00:00:00.000,Open,K139,330 RUGBY ROAD,NY,993724,172936,-73.965862,40.64134,314,40,152200,3051440064,BK42,Flatbush,MARY MCDONALD,Principal,718-282-5254,718-940-1205,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 6- Brooklyn South,NULL,NULL,NULL,314,70
2020,75K140,K140,P.S. K140,307500013140,DOE,Special Education,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08,SE",1999-07-01T00:00:00.000,Open,K258,141 MACON STREET,NY,999338,187723,-73.9456,40.68192,303,36,26900,3018450001,BK75,Bedford,RODERICK PALTON,Principal,718-783-4842,718-783-4869,13,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,Children First Network 754,NULL,NULL,NULL,303,79
2020,75K141,K141,P.S. K141,307500013141,DOE,Special Education,K-12 all grades,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,SE","PK,0K,01,02,03,04,05,06,07,08,09,10,11,SE",1996-04-18T00:00:00.000,Open,K002,655 PARKSIDE AVENUE,NY,997686,178433,-73.951575,40.656423,309,40,80200,3050500051,BK60,Prospect Lefferts Gardens-Wingate,Michele Thornton Mannix,Principal,718-941-0320,718-941-3152,17,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,Children First Network 754,NULL,NULL,NULL,309,71
2020,15K142,K142,JHS 142,331500010142,DOE,General Academic,Junior High-Intermediate-Middle,NULL,NULL,1903-07-01T00:00:00.000,Closed,K142,610 HENRY STREET,NY,983868,187044,-74.0014,40.6801,306,39,6300,3003690001,BK33,Carroll Gardens-Columbia Street-Red Hook,NULL,NULL,718-923-4600,718-923-4620,15,15,COMMUNITY SCHOOL DISTRICT 15,Rosemary Stuart,NULL,NULL,NULL,NULL,NULL,NULL,306,76
2020,16K143,K143,M.S. 143 Performing & Fine Arts,331600010143,DOE,General Academic,Junior High-Intermediate-Middle,NULL,"06,07,08",1999-07-01T00:00:00.000,Closed,K324,800 GATES AVENUE,NY,1003098,190066,-73.932,40.6883,303,36,29300,3016360001,BK35,Stuyvesant Heights,NULL,NULL,718-574-2424,718-453-0383,16,16,COMMUNITY SCHOOL DISTRICT 16,Evelyn Santiago,NULL,NULL,NULL,NULL,NULL,NULL,303,81
2020,32K145,K145,P.S. 145 Andrew Jackson,333200010145,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1905-07-01T00:00:00.000,Open,K145,100 NOLL STREET,NY,1002997,194716,-73.932388,40.701107,304,34,42500,3031530011,BK78,Bushwick South,Linda Malloy,Principal,718-821-4823,718-417-3453,32,32,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 2- Brooklyn North,NULL,NULL,NULL,304,83
2020,15K146,K146,"The Brooklyn New School, P.S. 146",331500010146,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1992-01-08T00:00:00.000,Open,K142,610 HENRY STREET,NY,983689,186823,-74.002022,40.679462,306,39,6300,3003690001,BK33,Carroll Gardens-Columbia Street-Red Hook,ANNA ALLANBROOK,Principal,718-923-4750,718-923-4780,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 5- Brooklyn North,NULL,NULL,NULL,306,76
2020,14K147,K147,P.S. 147 Isaac Remsen,331400010147,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1906-07-01T00:00:00.000,Open,K147,325 BUSHWICK AVENUE,NY,1001221,196135,-73.93879,40.705005,301,34,48500,3030910001,BK78,Bushwick South,Sandra Noyola,Principal,718-497-0326,718-628-4988,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 4- Brooklyn North,NULL,NULL,NULL,301,90
2020,19K149,K149,P.S. 149 Danny Kaye,331900010149,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1906-07-01T00:00:00.000,Open,K149,700 SUTTER AVENUE,NY,1013999,183161,-73.89276,40.669361,305,42,115800,3037740016,BK85,East New York (Pennsylvania Ave),YVETTE DONALD,Principal,718-688-7620,718-345-8118,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 6- Brooklyn North,NULL,NULL,NULL,305,75
2020,23K150,K150,P.S. 150 Christopher,332300010150,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05,SE",1907-07-01T00:00:00.000,Open,K150,364 SACKMAN STREET,NY,1010565,182941,-73.90514,40.668768,316,41,90800,3037440009,BK81,Brownsville,TRACEY QUARLES,Principal,718-495-7746,718-922-3785,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 7- Brooklyn North,NULL,NULL,NULL,316,73
2020,32K151,K151,P.S. 151 Lyndon B. Johnson,333200010151,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1906-07-01T00:00:00.000,Open,K151,763 KNICKERBOCKER AVENUE,NY,1009695,191926,-73.908242,40.693432,304,37,43700,3034060001,BK77,Bushwick North,JAYNE HUNT,Principal,718-326-6360,718-326-6364,32,32,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 2- Brooklyn North,NULL,NULL,NULL,304,83
2020,22K152,K152,School of Science & Technology,332200010152,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1907-07-01T00:00:00.000,Open,K152,725 EAST  23 STREET,NY,996943,169760,-73.954269,40.632619,314,45,77200,3075510026,BK42,Flatbush,Gina Smalley,Principal,718-434-5222,718-859-5965,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 6- Brooklyn South,NULL,NULL,NULL,314,70
2020,22K152,K152,School of Science & Technology,332200010152,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1907-07-01T00:00:00.000,Open,K152,725 EAST  23 STREET,NY,996943,169760,-73.954269,40.632619,314,45,77200,3075510026,BK42,Flatbush,Gina Smalley,Principal,718-434-5222,718-859-5965,22,22,COMMUNITY SCHOOL DISTRICT 22,"BOVE, JULIA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 6- Brooklyn South,NULL,NULL,NULL,314,70
2020,21K153,K153,P.S. 153 Homecrest,332100010153,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1908-07-01T00:00:00.000,Open,K153,1970 HOMECREST AVENUE,NY,995350,158305,-73.960027,40.601179,315,48,55600,3072910030,BK25,Homecrest,CARL SANTA MARIA,Principal,718-375-4484,718-375-4439,21,21,COMMUNITY SCHOOL DISTRICT 21,"DIMOLA, ISABEL",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 5- Brooklyn South,NULL,NULL,NULL,315,61
2020,15K154,K154,The Windsor Terrace School,331500010154,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1908-07-01T00:00:00.000,Open,K154,1625 11 AVENUE,NY,990918,178641,-73.975967,40.657002,307,39,17100,3052570001,BK40,Windsor Terrace,Jason Foreman,Principal,718-768-0057,718-832-2573,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 5- Brooklyn North,NULL,NULL,NULL,307,72
2020,23K155,K155,P.S./ I.S. 155 Nicholas Herkimer,332300010155,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1908-07-01T00:00:00.000,Open,K155,1355 HERKIMER STREET,NY,1009579,186170,-73.908682,40.677634,316,37,36900,3015520043,BK79,Ocean Hill,MICHELLE MANNS,Principal,718-240-4340,718-345-9064,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 7- Brooklyn North,NULL,NULL,NULL,316,73
2020,23K156,K156,P.S. 156 Waverly,332300010156,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1999-07-01T00:00:00.000,Open,K356,104 SUTTER AVENUE,NY,1007032,181766,-73.91788,40.665553,316,41,90000,3035350016,BK81,Brownsville,Naiyma Moore,Principal,718-498-2811,718-346-2804,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 7- Brooklyn North,NULL,NULL,NULL,316,73
2020,14K157,K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,331400010157,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05",1909-07-01T00:00:00.000,Open,K157,850 KENT AVENUE,NY,995342,192631,-73.959999,40.695397,303,33,123700,3018970013,BK75,Bedford,KOURTNEY BOYD,Principal,718-622-9285,718-398-4155,14,14,COMMUNITY SCHOOL DISTRICT 14,"WINNICKI, ALICJA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 4- Brooklyn North,NULL,NULL,NULL,303,79
2020,19K158,K158,P.S. 158 Warwick,331900010158,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1909-07-01T00:00:00.000,Open,K158,400 ASHFORD STREET,NY,1016091,184340,-73.885214,40.67259,305,37,115000,3040150001,BK82,East New York,LATISHIA TOWLES,Principal,718-277-6116,718-827-4300,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 6- Brooklyn North,NULL,NULL,NULL,305,75
2020,19K159,K159,P.S. 159 Isaac Pitkin,331900010159,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1908-07-01T00:00:00.000,Open,K159,2781 PITKIN AVENUE,NY,1020391,185629,-73.869705,40.676111,305,42,120000,3042160001,BK82,East New York,MONICA DUNCAN,Principal,718-277-4828,718-827-4531,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 6- Brooklyn North,NULL,NULL,NULL,305,75
2020,20K160,K160,P.S. 160 William T. Sampson,332000010160,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1909-07-01T00:00:00.000,Open,K160,5105 Fort Hamilton Parkway,NY,984515,171328,-73.999045,40.636932,312,44,22000,3056530021,BK88,Borough Park,MARGARET RUSSO,Principal,718-438-0337,718-871-7920,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 4- Brooklyn South,NULL,NULL,NULL,312,66
2020,17K161,K161,P.S. 161 The Crown,331700010161,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1923-07-01T00:00:00.000,Open,K161,330 CROWN STREET,NY,998331,181834,-73.949243,40.665757,309,35,31900,3012970026,BK63,Crown Heights South,Michael Johnson,Principal,718-756-3100,718-953-3605,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 2- Brooklyn South,NULL,NULL,NULL,309,71
2020,32K162,K162,J.H.S. 162 The Willoughby,333200010162,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1909-07-01T00:00:00.000,Open,K162,1390 WILLOUGHBY AVENUE,NY,1006529,196799,-73.919643,40.706816,304,34,44500,3032120001,BK77,Bushwick North,AMANDA LAZERSON,Principal,718-821-4860,718-821-1728,32,32,COMMUNITY SCHOOL DISTRICT 32,"GORSKI, SHEILA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 2- Brooklyn North,NULL,NULL,NULL,304,83
2020,20K163,K163,P.S. 163 Bath Beach,332000010163,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05",1909-07-01T00:00:00.000,Open,K807,109 BAY 14TH STREET,NY,982176,160328,-74.007469,40.606739,311,43,18000,3063990040,BK27,Bath Beach,Jared Shapiro,I.A. Principal,718-236-9003,718-259-3042,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 4- Brooklyn South,NULL,NULL,NULL,311,62
2020,20K164,K164,P.S. 164 Caesar Rodney,332000010164,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1910-07-01T00:00:00.000,Open,K164,4211 14 AVENUE,NY,988208,171390,-73.985739,40.637101,312,44,23200,3056000001,BK88,Borough Park,Erica Steinberg,Principal,718-854-4100,718-853-9306,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 4- Brooklyn South,NULL,NULL,NULL,312,66
2020,23K165,K165,P.S. 165 Ida Posner,332300010165,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1912-07-01T00:00:00.000,Open,K165,76 LOTT AVENUE,NY,1008961,178674,-73.910938,40.657061,316,42,89600,3036220023,BK81,Brownsville,Jason Rivers,Principal,718-495-7759,718-345-8255,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 7- Brooklyn North,NULL,NULL,NULL,316,73
2020,19K166,K166,J.H.S. 166 George Gershwin,331900010166,DOE,General Academic,Junior High-Intermediate-Middle,"08,SE","06,07,08",1956-07-01T00:00:00.000,Closed,K166,800 VAN SICLEN AVE,NY,1015961,179729,-73.885704,40.659934,305,42,110400,3043490050,BK82,East New York,Victor Esannason,I.A. PRINCIPAL,718-649-0765,718-927-2172,19,19,COMMUNITY SCHOOL DISTRICT 19,"STALLINGS-HARTE, JOYCE",NULL,NULL,NULL,NULL,NULL,NULL,305,75
2020,17K167,K167,P.S. 167 The Parkway,331700010167,DOE,General Academic,Elementary,,"PK,0K,01,02,03,04,05",1911-07-01T00:00:00.000,Closed,K167,1025 EASTERN PARKWAY,NY,1002471,183221,-73.934316,40.669557,308,35,35300,3013890035,BK61,Crown Heights North,MARC MARDY,PRINCIPAL,718-774-2640,718-953-1954,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NULL,NULL,NULL,NULL,NULL,NULL,308,77
2020,32K168,K168,The Brooklyn School for Math and Research,333200011168,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2011-07-01T00:00:00.000,Open,K480,400 IRVING AVENUE,NY,1008721,193027,-73.911751,40.696457,304,37,43500,3033650098,BK77,Bushwick North,Perry Rainey,Principal,718-381-7100,718-381-9897,32,32,NULL,NULL,NYCDOE Citywide Office - Affinity Schools,NULL,School Support Team 3- Affinity Group,HS07,HS Network 07 Superintendent Office,"CINTRON, RICHARD",304,83
2020,15K169,K169,P.S. 169 Sunset Park,331500010169,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1915-07-01T00:00:00.000,Open,K169,4305 7 AVENUE,NY,983778,174568,-74.0017,40.645825,307,38,9200,3007320001,BK34,Sunset Park East,Eujin Jaela Kim,Principal,718-853-3224,718-633-9621,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 5- Brooklyn North,NULL,NULL,NULL,307,72
2020,20K170,K170,Ralph A. Fabrizio School,332000010170,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1915-07-01T00:00:00.000,Open,K170,619 72ND STREET,NY,979054,168939,-74.018719,40.630373,310,43,13400,3058990001,BK31,Bay Ridge,ZHEN WU,Principal,718-491-8400,718-491-8405,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 4- Brooklyn South,NULL,NULL,NULL,310,68
2020,20K170,K170,Ralph A. Fabrizio School,332000010170,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1915-07-01T00:00:00.000,Open,K170,619 72ND STREET,NY,979054,168939,-74.018719,40.630373,310,43,13400,3058990001,BK31,Bay Ridge,ZHEN WU,Principal,718-491-8400,718-491-8405,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 4- Brooklyn South,NULL,NULL,NULL,310,68
2020,19K171,K171,I.S. 171 Abraham Lincoln,331900010171,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1912-07-01T00:00:00.000,Open,K171,528 RIDGEWOOD AVENUE,NY,1020461,189178,-73.869434,40.685852,305,37,118400,3041340020,BK83,Cypress Hills-City Line,Indira Mota,Principal,718-647-0111,718-827-5834,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 6- Brooklyn North,NULL,NULL,NULL,305,75
2020,15K172,K172,P.S. 172 Beacon School of Excellence,331500010172,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",1914-07-01T00:00:00.000,Open,K172,825 4 AVENUE,NY,984197,178888,-74.000191,40.657682,307,38,10100,3006690001,BK32,Sunset Park West,ERIKA GUNDERSEN,Principal,718-965-4200,718-965-2468,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 5- Brooklyn North,NULL,NULL,NULL,307,72
2020,19K174,K174,P.S. 174 Dumont,331900010174,DOE,General Academic,K-8,"05,SE","PK,0K,01,02,03,04,05,06,07,08",1913-07-01T00:00:00.000,Closed,K174,574 DUMONT AVENUE,NY,1012657,181733,-73.897604,40.665446,305,42,113000,3038020015,BK85,East New York (Pennsylvania Ave),INGRID MASON,PRINCIPAL,718-345-1223,718-345-8808,19,19,COMMUNITY SCHOOL DISTRICT 19,"STALLINGS-HARTE, JOYCE",NULL,NULL,NULL,NULL,NULL,NULL,305,75
2020,20K176,K176,P.S. 176 Ovington,332000010176,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1914-07-01T00:00:00.000,Open,K176,1225 69 STREET,NY,982805,166921,-74.005205,40.624835,310,43,19600,3057740001,BK30,Dyker Heights,ELIZABETH CULKIN,Principal,718-236-7755,718-331-9188,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 4- Brooklyn South,NULL,NULL,NULL,310,68
2020,21K177,K177,P.S. 177 The Marlboro,332100010177,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1924-07-01T00:00:00.000,Open,K177,346 AVENUE P,NY,991351,160850,-73.974425,40.608169,311,44,42400,3066310001,BK29,Bensonhurst East,Ann marie Lettieri Baker,Principal,718-375-9506,718-375-4450,21,21,COMMUNITY SCHOOL DISTRICT 21,"DIMOLA, ISABEL",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 5- Brooklyn South,NULL,NULL,NULL,311,62
2020,23K178,K178,P.S. 178 Saint Clair Mckelway,332300010178,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1915-07-01T00:00:00.000,Open,K178,2163 DEAN STREET,NY,1007734,185347,-73.915337,40.67538,316,41,30300,3014400056,BK79,Ocean Hill,Loren Cooper,I.A. Principal,718-495-7768,718-495-2304,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 7- Brooklyn North,NULL,NULL,NULL,316,73
2020,20K179,K179,P.S. 179 Kensington,332000010179,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1915-07-01T00:00:00.000,Open,K179,202 AVENUE C,NY,990561,172493,-73.97726,40.640127,312,39,48800,3053710001,BK41,Kensington-Ocean Parkway,BERNEL CONNELLY THOMAS,Principal,718-438-4010,718-871-7484,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 4- Brooklyn South,NULL,NULL,NULL,312,66
2020,20K180,K180,The SEEALL Academy,332000010180,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1925-07-01T00:00:00.000,Open,K180,5601 16 AVENUE,NY,987234,167511,-73.98925,40.626454,312,44,47000,3054920001,BK88,Borough Park,GARY WILLIAMS,Principal,718-851-8070,718-853-9308,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 4- Brooklyn South,NULL,NULL,NULL,312,66
2020,17K181,K181,P.S. 181 Brooklyn,331700010181,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1922-07-01T00:00:00.000,Open,K181,1023 NEW YORK AVENUE,NY,999267,175444,-73.945883,40.648217,317,45,85600,3049040010,BK91,East Flatbush-Farragut,Victor Esannason,I.A. Principal,718-462-5298,718-284-5053,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 2- Brooklyn South,NULL,NULL,NULL,317,67
2020,84K182,K182,Success Academy Charter School - Williamsburg,331400861024,Charter,General Academic,Elementary,"0K,01,02,03,04,05,06,08","0K,01,02,03,04,05,06,07,08",2012-07-01T00:00:00.000,Open,K050,183 SOUTH  3 STREET,NY,995301,198649,-73.960137,40.711915,301,34,52300,3024190001,BK73,North Side-South Side,Abigail Johnson,Principal,718-704-1419,646-349-5421,14,84,OFFICE OF CHARTER SCHOOLS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,301,90
2020,23K183,K183,P.S. 183 Daniel Chappie James,332300010183,DOE,General Academic,K-8,NULL,"0K,01,02,03,04,05,06,08",1923-07-01T00:00:00.000,Closed,K183,76 RIVERDALE AVENUE,NY,1008129,179818,-73.9139,40.6602,316,42,89600,3035970011,BK81,Brownsville,Andrea Whitehurst,Principal,718-495-0952,718-495-1134,23,23,COMMUNITY SCHOOL DISTRICT 23,Donald Conyers,NULL,NULL,NULL,NULL,NULL,NULL,316,73
2020,23K184,K184,P.S. 184 Newport,332300010184,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08,SE",1923-07-01T00:00:00.000,Open,K184,273 NEWPORT STREET,NY,1010606,179887,-73.905004,40.660385,316,42,91800,3036060001,BK81,Brownsville,LISA CALDWELL LINDER,Principal,718-495-7776,718-385-4655,23,23,COMMUNITY SCHOOL DISTRICT 23,"PATE, MIATHERESA",NYCDOE Borough Office - Brooklyn North,NULL,School Support Team 7- Brooklyn North,NULL,NULL,NULL,316,73
2020,20K185,K185,P.S. 185 Walter Kassenbrock,332000010185,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1921-07-01T00:00:00.000,Open,K185,8601 RIDGE BOULEVARD,NY,974970,166472,-74.033429,40.623598,310,43,6000,3060430001,BK31,Bay Ridge,Rena Goudelias,Principal,718-745-6610,718-836-9631,20,20,COMMUNITY SCHOOL DISTRICT 20,"COSTANTINO, KARINA",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,School Support Team 4- Brooklyn South,NULL,NULL,NULL,310,68
